id,tokens,pos_tags,chunk_tags,ner_tags
1857,"['Telgheder' '(' '2-5' ')' 'snapped' 'a' 'personal' 'three-game' 'losing'
 'streak' '.']",[21  4 11  5 38 12 16 16 21 21  7],[11  0 11  0 21 11 12 12 12 12  0],[1 0 0 0 0 0 0 0 0 0 0]
1858,['Buddy' 'Groom' 'pitched' 'a' 'perfect' 'ninth' 'inning' '.'],[22 22 38 12 16 16 21  7],[11 12 21 11 12 12 12  0],[1 2 0 0 0 0 0 0]
1859,"['McGwire' 'singled' 'home' 'a' 'run' 'to' 'spark' 'a' 'three-run' 'sixth'
 'and' 'capped' 'the' 'scoring' 'with' 'a' 'two-run' 'homer' 'in' 'the'
 'seventh' '.']",[21 38 21 12 21 35 37 12 16 16 10 38 12 39 15 12 16 21 15 12 16  7],[11 21  3 11 12 21 22 11 12 12 12 12 12 21 13 11 12 12 13 11 12  0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1860,"['The' 'loss' 'was' 'Boston' ""'s"" 'seventh' 'in' 'its' 'last' '29' 'games'
 '.']",[12 21 38 22 27 16 15 29 16 11 24  7],[11 12 21 11 11 12 13 11 12 12 12  0],[0 0 0 3 0 0 0 0 0 0 0 0]
1861,"['In' 'Detroit' ',' 'Todd' 'Van' 'Poppel' 'pitched' 'a' 'five-hitter'
 'for' 'his' 'first' 'career' 'shutout' 'and' 'Tony' 'Clark' 'homered'
 'to' 'cap' 'a' 'four-run' 'first' 'inning' 'as' 'the' 'Tigers' 'blanked'
 'the' 'Kansas' 'City' 'Royals' '4-0' '.']","[15 22  6 22 22 22 38 12 21 15 29 16 21 21 10 22 22 38 35 37 12 16 16 21
 15 12 22 38 12 22 22 23 16  7]","[13 11  0 11 12 12 21 11 12 13 11 12 12 12  0 11 12 21 22 22 11 12 12 12
 17 11 12 21 11 12 12 12 12  0]",[0 5 0 1 2 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 3 0 0 3 4 4 0 0]
1862,"['Van' 'Poppel' '(' '3-6' ')' 'walked' 'two' 'and' 'struck' 'out' 'two'
 'in' 'defeating' 'the' 'Royals' 'for' 'the' 'second' 'time' 'this' 'week'
 '.']",[22 22  4 11  5 38 11 10 38 33 11 15 39 12 24 15 12 16 21 12 21  7],[11 12  0 11  0 21 11  0 21 15 11 13 21 11 12 13 11 12 12 11 12  0],[1 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0]
1863,"['He' 'threw' '108' 'pitches' 'as' 'he' 'lowered' 'his' 'ERA' 'from'
 '8.08' 'to' '7.24' '.']",[28 38 11 24 15 28 38 29 22 15 11 35 11  7],[11 21 11 12 17 11 21 11 12 13 11 13 11  0],[0 0 0 0 0 0 0 0 7 0 0 0 0 0]
1864,['Kansas' 'City' 'has' 'scored' 'only' 'one' 'run' 'in' 'two' 'games' '.'],[22 22 42 40 30 11 37 15 11 24  7],[11 12 21 22 11 12 21 13 11 12  0],[5 6 0 0 0 0 0 0 0 0 0]
1865,"['In' 'Milwaukee' ',' 'Marc' 'Newfield' 'homered' 'off' 'Jose' 'Parra' '('
 '5-4' ')' 'leading' 'off' 'the' 'bottom' 'of' 'the' '12th' 'as' 'the'
 'Brewers' 'rallied' 'for' 'a' '5-4' 'victory' 'over' 'the' 'Minnesota'
 'Twins' '.']","[15 22  6 22 22 38 33 22 22  4 16  5 39 33 12 21 15 12 16 15 12 24 38 15
 12 16 21 15 12 22 22  7]","[13 11  0 11 12 21 15 11 12  0 11 12 12 12 12 12 13 11 12 13 11 12 21 13
 11 12 12 13 11 12 12  0]",[0 5 0 1 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 4 0]
1866,['Milwaukee' 'has' 'won' '10' 'of' 'its' 'last' '15' '.'],[22 42 40 11 15 29 16 11  7],[11 21 22 11 13 11 12 12  0],[3 0 0 0 0 0 0 0 0]
1867,"['Bob' 'Wickman' '(' '6-1' ')' 'pitched' '2' '2/3' 'hitless' 'innings'
 'for' 'the' 'win' ',' 'his' 'second' 'for' 'the' 'Brewers' '.']",[22 22  4 11  5 38 11 11 24 21 15 12 21  6 29 16 15 12 23  7],[11 12  0 11  0 21 11 12 12 12 13 11 12  0 11 12 13 11 12  0],[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0]
1868,"['Matt' 'Lawton' 'hit' 'a' 'three-run' 'homer' 'off' 'closer' 'Mike'
 'Fetters' 'with' 'one' 'out' 'in' 'the' 'ninth' 'to' 'give' 'Minnesota'
 'a' '4-2' 'lead' '.']",[22 22 38 12 16 21 15 17 22 22 15 11 15 15 12 16 35 37 22 12 16 21  7],[11 12 21 11 12 12 13 11 12 12 13 11 13 13 11 12 21 22 11 11 12 12  0],[1 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 3 0 0 0 0]
1869,"['But' 'Milwaukee' 'tied' 'it' 'up' 'in' 'the' 'bottom' 'of' 'the' 'ninth'
 'on' 'pinch-hitter' 'Dave' 'Nilsson' ""'s"" 'two-run' 'double' '.']",[10 22 38 28 33 15 12 21 15 12 16 15 16 22 22 27 16 16  7],[ 0 11 21 11 15 13 11 12 13 11 12 13 14 11 12 11 12 12  0],[0 3 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0]
1870,"['CRICKET' '-' 'ESSEX' 'AND' 'KENT' 'MADE' 'TO' 'SWEAT' 'IN' 'TITLE'
 'RACE' '.']",[22  8 22 10 22 22 35 22 15 12 21  7],[11  0 11 12 12 12 13 11 13 11 12  0],[0 0 3 0 3 0 0 0 0 0 0 0]
1871,['LONDON' '1996-08-31'],[22 22],[11 12],[5 0]
1872,"['Essex' 'and' 'Kent' 'both' 'face' 'tense' 'finishes' 'on' 'Monday' 'as'
 'they' 'attempt' 'to' 'keep' 'pace' 'with' 'title' 'hopefuls'
 'Derbyshire' 'and' 'Surrey' ',' 'convincing' 'three-day' 'victors' 'on'
 'Saturday' ',' 'in' 'the' 'English' 'county' 'championship' 'run-in' '.']","[22 10 22 12 21 16 24 15 22 15 28 41 35 37 21 15 21 24 22 10 22  6 16 16
 24 15 22  6 15 12 16 21 21 16  7]","[11 12 12 11 12 12 12 13 11 17 11 21 22 22 11 13 11 12 12 12 12  0 11 12
 12 13 11  0 13 11 12 12 12  1  0]",[3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 7 0 0 0 0]
1873,"['Essex' 'need' 'another' '148' 'with' 'five' 'wickets' 'in' 'hand' 'to'
 'beat' 'Yorkshire' 'after' 'a' 'maiden' 'first-class' 'century' 'from'
 'Richard' 'Kettleborough' 'transformed' 'a' 'match' 'which' 'his' 'side'
 'had' 'seemed' 'certain' 'to' 'lose' '.']","[22 41 12 11 15 11 24 15 21 35 37 22 15 12 16 16 21 15 22 22 38 12 21 43
 29 21 38 40 16 35 37  7]","[11 21 11 12 13 11 12 13 11 21 22 11 13 11 12 12 12 13 11 12 21 11 12 11
 11 12 21 22  1 21 22  0]",[3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0]
1874,"['Kent' 'will' 'also' 'need' 'to' 'keep' 'their' 'nerve' 'against'
 'struggling' 'Nottinghamshire' 'who' 'will' 'enter' 'the' 'final' 'day'
 '137' 'ahead' 'with' 'four' 'wickets' 'left' 'in' 'a' 'relatively'
 'low-scoring' 'match' 'at' 'Tunbridge' 'Wells' '.']","[22 20 30 37 35 37 29 21 15 39 22 44 20 37 12 16 21 11 30 15 11 24 38 15
 12 30 16 21 15 22 22  7]","[11 21 22 22 22 22 11 12 13 21 11 11 21 22 11 12 12 12  3 13 11 12 21 13
 11 12 12 12 13 11 12  0]",[3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0]
1875,"['Derbyshire' ',' 'nine-wicket' 'winners' 'over' 'Worcestershire' ','
 'and' 'Surrey' ',' 'who' 'thrashed' 'Warwickshire' 'by' 'an' 'innings'
 'and' '164' 'runs' ',' 'can' 'instead' 'take' 'the' 'day' 'off' 'along'
 'with' 'rivals' 'Leicestershire' ',' 'who' 'beat' 'Somerset' 'inside'
 'two' 'days' '.']","[21  6 16 24 15 22  6 10 22  6 44 38 22 15 12 21 10 11 24  6 20 30 37 12
 21 15 15 15 24 22  6 44 37 22 15 11 24  7]","[11  0 11 12 13 11  0  0 11  0 11 21 11 13 11 12  0 11 12  0 21 22 22 11
 12 13 14 13 11 12  0 11 21 11 13 11 12  0]","[3 0 0 0 0 3 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0
 0]"
1876,"['Warwickshire' 'captain' 'Tim' 'Munton' 'is' 'tipping' 'Surrey' 'to'
 'emerge' 'on' 'top' ',' 'impressed' 'by' 'the' 'positive' 'influence'
 'of' 'Australian' 'coach' 'Dave' 'Gilbert' ',' 'but' 'Derbyshire' ""'s""
 'Australian' 'captain' 'Dean' 'Jones' 'is' 'conceding' 'nothing' 'as'
 'his' 'side' 'chase' 'their' 'first' 'title' 'for' '60' 'years' '.']","[21 21 22 22 42 39 22 35 37 15 21  6 38 15 12 16 21 15 16 21 22 22  6 10
 22 27 16 21 22 22 42 39 21 15 29 21 21 29 16 21 15 11 24  7]","[11 12 12 12 21 22 11 21 22 13 11  0 21 13 11 12 12 13 11 12 12 12  0  0
 11 11 12 12 12 12 21 22 11 13 11 12 12 11 12 12 13 11 12  0]","[3 0 1 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 7 0 1 2 0 0 3 0 7 0 1 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
1877,"['""' 'We' 'took' 'three' 'absolutely' 'brilliant' 'catches' 'in' 'this'
 'match' 'and' 'our' 'catching' 'all' 'season' 'has' 'been' 'pretty'
 'impressive' '.']",[ 0 28 38 11 30 16 42 15 12 21 10 29 39 12 21 42 40 30 16  7],[ 0 11 21 11 12 12 21 13 11 12  0 11 21 11 12 21 22 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1878,"['Our' 'catching' 'will' 'win' 'or' 'lose' 'us' 'the' 'championship' ','
 '""' 'he' 'said' '.']",[29 39 21 37 10 37 28 12 21  6  0 28 38  7],[11 21 11 21 22 22 11 11 12  0  0 11 21  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1879,['GOLF' '-' 'LEADING' 'MONEY' 'WINNERS' 'ON' 'EUROPEAN' 'TOUR' '.'],[21  8 22 22 22 22 22 22  7],[11  0 11 12 12  0 11 12  0],[0 0 0 0 0 0 7 8 0]
1880,['LONDON' '1996-08-31'],[22 22],[11 12],[5 0]
1881,['Leading' 'money' 'winners' 'on' 'the'],[39 21 24 15 12],[11 12 12 13 11],[0 0 0 0 0]
1882,"['European' 'Tour' 'after' 'the' 'British' 'Masters' 'won' 'by' 'Robert'
 'Allenby' 'on']",[22 22 15 12 22 22 38 15 22 22 15],[11 12 13 11 12 12 21 13 11 12 13],[7 8 0 0 7 8 0 0 1 2 0]
1883,['Saturday' '(' 'British' 'unless' 'stated' ')' ':'],[22  4 16 15 16  5  8],[11  0 11 17 11  0  0],[0 0 7 0 0 0 0]
1884,"['1.' 'Ian' 'Woosnam' '510,258' 'pounds' 'sterling']",[11 22 22 11 24 21],[11 12 12 12 12 12],[0 1 2 0 0 0]
1885,"['2.' 'Colin' 'Montgomerie' '442,201']",[22 22 22 22],[11 12 12 12],[0 1 2 0]
1886,"['3.' 'Robert' 'Allenby' '(' 'Australia' ')' '407,748']",[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1887,"['4.' 'Lee' 'Westwood' '301,972']",[11 22 22 11],[11 12 11 12],[0 1 2 0]
1888,"['5.' 'Costantino' 'Rocca' '(' 'Italy' ')' '297,157']",[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1889,"['6.' 'Mark' 'McNulty' '(' 'Zimbabwe' ')' '254,247']",[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1890,"['7.' 'Andrew' 'Coltart' '248,142']",[22 22 22 11],[11 12 12 11],[0 1 2 0]
1891,"['8.' 'Wayne' 'Riley' '(' 'Australia' ')' '239,733']",[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1892,"['9.' 'Raymond' 'Russell' '234,330']",[11 22 22 11],[11 12 12 12],[0 1 2 0]
1893,"['10.' 'Paul' 'Lawrie' '211,420']",[11 22 22 11],[11 12 12 12],[0 1 2 0]
1894,"['11.' 'Stephen' 'Ames' '(' 'Trinidad' ')' '211,175']",[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1895,"['12.' 'Frank' 'Nobilo' '(' 'New' 'Zealand' ')' '209,412']",[11 22 22  4 22 22  5 11],[11 12 12  0 11 12  0 11],[0 1 2 0 5 6 0 0]
1896,"['13.' 'Paul' 'McGinley' '(' 'Ireland' ')' '208,978']",[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1897,"['14.' 'Padraig' 'Harrington' '(' 'Ireland' ')' '202,593']",[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
1898,"['15.' 'Retief' 'Goosen' '(' 'South' 'Africa' ')' '195,283']",[11 22 22  4 22 22  5 11],[11 12 12  0 11 12  0 11],[0 1 2 0 5 6 0 0]
1899,"['16.' 'Miguel' 'Angel' 'Jimenez' '(' 'Spain' ')' '184,180']",[22 22 22 22  4 22  5 11],[11 12 12 12  0 11  0 11],[0 1 2 2 0 5 0 0]
1900,"['17.' 'Peter' 'Mitchell' '183,704']",[22 22 22 11],[11 12 12 11],[0 1 2 0]
1901,"['18.' 'Miguel' 'Angel' 'Martin' '(' 'Spain' ')' '182,533']",[11 22 22 22  4 22  5 11],[11 12 12 12  0 11  0 11],[0 1 2 2 0 5 0 0]
1902,"['19.' 'Jonathan' 'Lomas' '181,005']",[22 22 22 11],[11 12 12 12],[0 1 2 0]
1903,"['20.' 'Paul' 'Broadhurst' '176,780']",[11 22 22 11],[11 12 12 11],[0 1 2 0]
1904,"['RUGBY' 'UNION' '-' 'ENGLISH' ',' 'SCOTTISH' 'AND' 'WELSH' 'RESULTS' '.']",[22 21  8 22  6 22 10 16 24  7],[11 12  0 11  0 11 12 12 12  0],[3 4 0 7 0 7 0 7 0 0]
1905,['LONDON' '1996-08-31'],[22 22],[11 12],[5 0]
1906,"['Results' 'of' 'English' ',' 'Scottish' 'and']",[24 15 22  6 22 10],[11 13 11  0 11  0],[0 0 7 0 7 0]
1907,['Welsh' 'rugby' 'union' 'matches' 'on' 'Saturday' ':'],[22 30 21 24 15 22  8],[11  3 11 12 13 11  0],[7 0 0 0 0 0 0]
1908,['English' 'National' 'League' 'one'],[22 22 22 11],[11 12 12 11],[7 8 8 0]
1909,['Harlequins' '75' 'Gloucester' '19'],[24 11 22 11],[11 11 12 12],[3 0 3 0]
1910,['London' 'Irish' '27' 'Bristol' '28'],[22 22 11 22 11],[11 12 12 12 12],[3 4 0 3 0]
1911,['Northampton' '46' 'West' 'Hartlepool' '20'],[21 11 22 22 11],[11 12 12 12 12],[3 0 3 4 0]
1912,['Orrell' '13' 'Bath' '56'],[30 11 22 11],[11 12 12 12],[3 0 3 0]
1913,['Sale' '31' 'Wasps' '33'],[21 11 22 11],[11 12 12 12],[3 0 3 0]
1914,['Saracens' '25' 'Leicester' '23'],[23 11 22 11],[11 12 12 12],[3 0 3 0]
1915,['Welsh' 'division' 'one'],[22 21 11],[11 12 11],[7 0 0]
1916,['Bridgend' '13' 'Llanelli' '9'],[21 11 22 11],[11 12 12 12],[3 0 3 0]
1917,['Dunvant' '21' 'Ebbw' 'Vale' '10'],[21 11 39 22 11],[11 12 12 12 12],[3 0 3 4 0]
1918,['Treorchy' '17' 'Newbridge' '23'],[21 11 22 11],[11 12 12 12],[3 0 3 0]
1919,['Newport' '29' 'Caerphilly' '10'],[22 11 22 11],[11 12 12 12],[3 0 3 0]
1920,['Swansea' '49' 'Cardiff' '23'],[21 11 22 11],[11 12 12 12],[3 0 3 0]
1921,['Scottish' 'premier' 'league' 'division' 'one'],[16 16 21 21 11],[11 12 12 12 11],[7 0 0 0 0]
1922,['Boroughmuir' '20' 'Hawick' '23'],[22 11 22 11],[11 12 12 12],[3 0 3 0]
1923,"['Currie' '45' 'Heriot' ""'s"" 'F.P.' '5']",[22 11 21 27 22 11],[11 12 12 11 12 12],[3 0 3 4 4 0]
1924,['Jed-Forest' '17' 'Watsonians' '54'],[16 11 23 11],[11 12 12 12],[3 0 3 0]
1925,['Melrose' '107' 'Stirling' 'County' '10'],[37 11 22 22 11],[21 11 12 12 12],[3 0 3 0 0]
1926,"['SOCCER' '-' 'WALES' 'BEAT' 'SAN' 'MARINO' 'IN' 'WORLD' 'CUP' 'QUALIFIER'
 '.']",[21  8 22 21 16 22 15 21 33 40  7],[11  0 11  7  0 11 13 11 15 21  0],[0 0 5 0 5 6 0 7 8 0 0]
1927,['CARDIFF' '1996-08-31'],[22 22],[11 12],[5 0]
1928,"['Wales' 'beat' 'San' 'Marino' '6-0' '(' 'halftime' '4-0' ')' 'in' 'a'
 'World' 'Cup' 'soccer' 'European' 'group' '7' 'qualifier' 'on' 'Saturday'
 '.']",[22 38 22 22 11  4 21 16  5 15 12 22 22 21 16 21 11 16 15 22  7],[11 21 11 12 12 12 12 12  0 13 11 12 12 12 12 12 12 12 13 11  0],[5 0 5 6 0 0 0 0 0 0 0 7 8 0 7 0 0 0 0 0 0]
1929,"['Scorers' ':' 'Dean' 'Saunders' '(' '2nd' 'minute' ',' '75th' ')' ','
 'Mark' 'Hughes' '(' '25th' ',' '54th' ')' ',' 'Andy' 'Melville' '('
 '33rd' ')' ',' 'John' 'Robinson' '(' '45th' ')' '.']","[24  8 22 22  4 16 21  6 16  5  6 22 22  4 16  6 11  5  6 22 22  4 11  5
  6 22 22  4 11  5  7]","[11  0 11 12  0 11 12 12 12  0  0 11 12  0 11 12 12  0  0 11 12  0 11  0
  0 11 12  0 11  0  0]",[0 0 1 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 2 0 0 0 0 1 2 0 0 0 0]
1930,"['Attendance' ':' '15,150']",[22  8 11],[11  0 11],[0 0 0]
1931,"['SOCCER' '-' 'UKRAINE' 'BEAT' 'NORTHERN' 'IRELAND' 'IN' 'WORLD' 'CUP'
 'QUALIFIER' '.']",[21  8 22 21 22 22 15 21 33 40  7],[11  0 11  7 11 12 13 11 15 21  0],[0 0 5 0 5 6 0 7 8 0 0]
1932,['BELFAST' '1996-08-31'],[24 11],[11 12],[5 0]
1933,"['Ukraine' 'beat' 'Northern' 'Ireland' '1-0' '(' 'halftime' '0-0' ')' 'in'
 'a' 'World' 'Cup' 'soccer' 'European' 'group' 'nine' 'qualifier' 'on'
 'Saturday' '.']",[22 38 22 22 22  4 21 11  5 15 12 22 22 21 16 21 11 21 15 22  7],[11 21 11 12 12  0 11 12  0 13 11 12 12 12 12 12 12 12 13 11  0],[5 0 5 6 0 0 0 0 0 0 0 7 8 0 7 0 0 0 0 0 0]
1934,['Scorer' ':' 'Sergei' 'Rebrov' '(' '79th' 'minute' ')'],[22  8 22 22  4 16 21  5],[11  0 11 12  0 11 12  0],[0 0 1 2 0 0 0 0]
1935,"['Attendance' ':' '9,358']",[22  8 11],[11  0 11],[0 0 0]
1936,"['RUGBY' 'UNION' '-' 'LYNAGH' 'SEALS' 'VICTORY' 'OVER' 'DWYER' 'AND'
 'LEICESTER' '.']",[22 21  8 22 22 21 15 22 10 21  7],[11 12  0 11 12 12 13 11 12 12  0],[3 4 0 1 0 0 0 3 0 3 0]
1937,['LONDON' '1996-08-31'],[22 22],[11 12],[5 0]
1938,"['Former' 'Wallaby' 'captain' 'Michael' 'Lynagh' 'began' 'his' 'career'
 'in' 'English' 'club' 'rugby' 'in' 'impeccable' 'fashion' 'on' 'Saturday'
 'to' 'frustrate' 'his' 'old' 'coach' 'Bob' 'Dwyer' 'on' 'his' 'league'
 'coaching' 'debut' 'with' 'Leicester' '.']","[22 22 21 22 22 38 29 21 15 16 21 21 15 16 21 15 22 35 37 29 16 21 22 22
 15 29 21 21 21 15 22  7]","[11 12 12 12 12 21 11 12 13 11 12 12 13 11 12 13 11 21 22 11 12 12 12 12
 13 11 12 12 12 13 11  0]",[0 3 0 1 2 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 5 0]
1939,"['Lynagh' 'kicked' 'five' 'penalties' 'and' 'a' 'conversion' 'from' 'his'
 'six' 'attempts' 'at' 'goal' 'to' 'steer' 'his' 'multi-national'
 'Saracens' 'side' 'to' 'a' '25-23' 'home' 'win' 'and' 'offer'
 'millionaire' 'backer' 'Nigel' 'Wray' 'an' 'early' 'return' 'on' 'his'
 'big' 'investment' 'in' 'the' 'north' 'London' 'club' '.']","[21 38 11 24 10 12 21 15 29 11 24 15 21 35 37 29 16 23 21 35 12 16 21 37
 10 37 21 21 22 22 12 16 21 15 29 16 21 15 12 21 22 21  7]","[11 21 11 12  0 11 12 13 11 12 12 13 11 21 22 11 12 12 12 13 11 12 12 21
 22 22 11 12 11 12 11 12 12 13 11 12 12 13 11 12 12 12  0]","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
 0 0 0 5 0 0]"
1940,"['French' 'centre' 'Philippe' 'Sella' 'also' 'enjoyed' 'a' 'good' 'game'
 'alongside' 'Lynagh' ',' 'although' 'the' 'home' 'team' 'scored' 'only'
 'one' 'try' 'through' 'England' 'scrum-half' 'Kyran' 'Bracken' '.']","[16 21 22 22 30 38 12 16 21 15 22  6 15 12 21 21 38 30 11 41 15 22 16 22
 22  7]","[11 12 12 12  3 21 11 12 12 13 11  0 17 11 12 12 21 11 12 21 13 11 12 12
 12  0]",[7 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 1 2 0]
1941,"['The' 'new' 'French' 'connection' 'at' 'Harlequins' 'also' 'made' 'a'
 'good' 'start' ',' 'Laurent' 'Cabannes' 'and' 'Laurent' 'Benezech'
 'scoring' 'a' 'try' 'apiece' 'in' 'their' 'side' ""'s"" '75-19' 'victory'
 'over' 'Gloucester' '.']","[12 16 16 21 15 22 30 38 12 16 21  6 22 22 10 22 22 39 12 41 30 15 29 21
 27 11 21 15 22  7]","[11 12 12 12 13 11  3 21 11 12 12  0 11 12 12 12 12 21 11 21  3 13 11 12
 11 12 12 13 11  0]",[0 0 7 0 0 5 0 0 0 0 0 0 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 3 0]
1942,"['Former' 'England' 'captain' 'Will' 'Carling' ',' 'handed' 'the'
 'kicking' 'duties' ',' 'finished' 'with' '20' 'points' '.']",[22 22 21 20 22  6 38 12 39 24  6 38 15 11 24  7],[11 12 12  0 11  0 21 11 21 11  0 21 13 11 12  0],[0 5 0 1 2 0 0 0 0 0 0 0 0 0 0 0]
1943,"['With' 'the' 'first' 'day' 'of' 'the' 'league' 'season' 'briefly'
 'shifting' 'the' 'spotlight' 'away' 'from' 'the' 'discord' 'between'
 'the' 'clubs' 'and' 'the' 'Rugby' 'Football' 'Union' ',' 'there' 'were'
 'also' 'emphatic' 'victories' 'for' 'champions' 'Bath' ',' '56-13'
 'winners' 'over' 'Orrell' ',' 'and' 'Northampton' 'and' 'narrow'
 'successes' 'for' 'Wasps' 'and' 'Bristol' '.']","[15 12 16 21 15 12 21 21 30 39 12 21 30 15 12 21 15 12 24 10 12 22 22 22
  6 13 38 30 16 24 15 24 21  6 11 24 15 22  6 10 22 10 16 24 15 24 10 22
  7]","[13 11 12 12 13 11 12 12  3 21 11 12  3 13 11 12 13 11 12  0 11 12 12 12
  0 11 21  3 11 12 13 11 12  0 11 12 13 11  0  0 11  0 11 12 13 11 12 12
  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 0 0 0 0 0 0 0 0 3 0 0 0 0
 3 0 0 3 0 0 0 0 3 0 3 0]"
1944,['SOCCER' '-' 'SCOTTISH' 'LEAGUE' 'STANDINGS' '.'],[21  8 22 22 22  7],[11  0 11 12 12  0],[0 0 7 0 0 0]
1945,['LONDON' '1996-08-31'],[22 22],[11 12],[5 0]
1946,['Scottish' 'league' 'standings' 'after'],[16 21 24 15],[11 12 12 13],[7 0 0 0]
1947,"['Saturday' ""'s"" 'matches' '(' 'tabulated' '-' 'played' ',' 'won' ','
 'drawn' ',' 'lost' ',' 'goals']",[22 27 24  4 40  8 40  6 38  6 40  6 38  6 24],[11 11 12  0 21  0 21  0 21 21 22  0 21  0 11],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1948,"['for' ',' 'goals' 'against' ',' 'points' ')' ':']",[15  6 24 15  6 42  5  8],[13  0 11 13  0 21  0  0],[0 0 0 0 0 0 0 0]
1949,['Division' 'one'],[21 11],[11 11],[0 0]
1950,['Greenock' 'Morton' '3' '2' '0' '1' '5' '2' '6'],[22 22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12 12],[3 4 0 0 0 0 0 0 0]
1951,['Dundee' '3' '1' '2' '0' '3' '2' '5'],[22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1952,['St' 'Johnstone' '2' '1' '1' '0' '3' '0' '4'],[22 22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12 12],[3 4 0 0 0 0 0 0 0]
1953,['St' 'Mirren' '3' '1' '1' '1' '5' '4' '4'],[22 22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12 12],[3 4 0 0 0 0 0 0 0]
1954,['Airdrieonians' '2' '1' '1' '0' '1' '0' '4'],[23 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1955,['Falkirk' '3' '1' '1' '1' '1' '1' '4'],[21 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1956,['Clydebank' '2' '1' '0' '1' '1' '3' '3'],[22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1957,['Partick' '3' '0' '2' '1' '1' '2' '2'],[22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1958,['Stirling' '3' '0' '1' '2' '1' '3' '1'],[22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1959,['East' 'Fife' '2' '0' '1' '1' '0' '4' '1'],[22 22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12 12],[3 4 0 0 0 0 0 0 0]
1960,['Division' 'two'],[21 11],[11 12],[0 0]
1961,['Livingston' '3' '3' '0' '0' '6' '2' '9'],[22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
1962,['Queen' 'of' 'South' '3' '2' '0' '1' '5' '4' '6'],[22 15 22 11 11 11 11 11 11 11],[11 13 11 12 12 12 12 12 12 12],[3 4 4 0 0 0 0 0 0 0]
1963,['Ayr' '3' '1' '2' '0' '8' '2' '5'],[22 11 11 11 11 11 11 11],[11 12 12 12 12 12 12 12],[3 0 0 0 0 0 0 0]
